,original_sents,sentences,weights
396,"visited with my friend last night and had the most wonderful evening.. the owner greeted us when we entered the restaurant and he was the most charming, happy, enthusiastic person i have met in years.. the food was excellent (i highly recommend the spaghetti vongole ) and great value and the restaurant has simple décor but is perfect and the waiter was superb.. everything was an absolute pleasure and i felt as though i was on holiday... i cannot wait to return and will be telling everyone about this amazing find... the restaurant was full and people were queuing to come in which shows how fantastic this place is.. my only concern is that it is becoming so popular , it will be tough to get a table.",friend night owner restaurant person i food spaghetti vongole value restaurant décor waiter everything pleasure i i holiday i everyone find restaurant people place concern table,22.1106552802
599,"i got there via tripadvisor and some friends of mine came with me also.i must say this is the best place in london for pizzas, tiramisù and pasta i ever visited.",i tripadvisor friends mine place london pizzas tiramisù pasta i,22.0896531741
495,"i had prawn cocktail .... delicious juicy, fresh prawns ... then possibly the best carbonara i ever had including in rome and napoli .... i had fab house dry white to go with it ...this is such a find ... fab owner...fab chefs... and if even possible the most authentic and best italian homemade deserts ... 10/10.",i cocktail juicy prawns carbonara i rome napoli house find fab owner chefs homemade deserts,22.0598069184
555,"i had fresh pasta with italian sausage and chilli and my colleague had a salami pizza - one drink each included and i also had an espresso, on the house.",i pasta sausage chilli colleague salami pizza drink i espresso house,21.8091515991
1299,"this was my third visit to fiddies was just walking by with my son and thought we could quickly have the lunch deal,this was the best pizza i've had in years....we shared a pizza and a pasta pasta with meatballs was greatand the pizza "" ivana"" i think it was called was just lovely,the sun was shining so we sat outside and had a cold peroni, i can highly recommend this place and will be back again and again,great value lunch deal too at 6.95/6.95 with a beer or soft drink
this is my 9th time & everytime the food is outstanding.",visit fiddies son thought lunch deal pizza i years pizza pasta pasta meatballs pizza i sun peroni i place value lunch beer drink time food,21.7895778678
1082,"the service was outstanding, the staff were friendly, chatty and made us feel at ease, we were even given some free drinks!the menu has a variety of sauces and pastas (gluten free options too), pizza, risotto, meat, seafood and plenty of options for vegetarians.",service staff chatty ease drinks menu variety sauces pastas options pizza risotto meat seafood plenty options vegetarians,21.6656875672
196,all of our dishes were superb - from the pizza - think the best i have tasted - the pasta - to the succulent spring chicken perfect for those on a health kick.,dishes pizza i pasta succulent spring chicken perfect health kick,21.5442638812
83,"the three of us had garlic bread; fried zucchini; mozzarella and tomato salad; calzone; pasta al funghi ( mushrooms in a rich, creamy sauce); chicken al funghi, with vegetables and roast potatoes; tiramisu and cheesecake.",bread zucchini mozzarella tomato salad calzone funghi mushrooms sauce al funghi vegetables roast potatoes tiramisu cheesecake,21.3494291109
1065,"great service by emma & neo, the chef visited our table to ask us if everything was ok. we had mussels, kalamari, courgettes, garlic bread, for starters then for main, we had chicken escalope with fettuccini carbonara followed by tiramisu, panna cotta
find a good italian restaurant in london is not easy at all, if also cheap it is an extremely rare event!",service emma neo chef table everything mussels kalamari courgettes bread starters escalope fettuccini carbonara tiramisu panna cotta restaurant london event,21.2366974013
737,"neo (the owner) is fantastic- he's friendly and fun, makes you feel like you've come to his house for a meal :-) i took my friend for her birthday and he made me look great by bringing out a slice of cake for her with a candle and singing her happy birthday :-)
i have been a regular customer at fiddies italian since it opened and i cant stress enough how incredibly welcoming and hospitable the manager neo is!!",neo owner fun house meal i friend birthday slice cake candle birthday i customer fiddies stress manager neo,21.0471647136
628,"considering the kitchen had some electrical problems on the evening ( which were being fixed as we ate) the atmosphere was fantastic and we had a lovely family meal.....almost last out of the restaurant....following complimentary deserts for the wait and inconvenience of the delay-which we didn't really notice.great food, great host and great atmosphere.....and found out that fiddie's actually greek.......yammas and buonissimo...from the brummie 3.
it may be small, but fiddie’s italian kitchen certainly packs a punch!",kitchen problems evening atmosphere family meal restaurant deserts wait inconvenience food host atmosphere ..and fiddie .yammas buonissimo brummie ’ s kitchen punch,20.9500460971
705,"the menu is extensive, with a wide range of typical italian dishes, lots of pasta, meat and sea-food as well as pizzas, which looked fantastic.",menu range dishes lots pasta meat sea-food pizzas,20.9351774668
292,"we went to fiddies for my friends' 18th birthday, and specifically chose there due to the gluten-free pasta and the amount of vegetarian food.",fiddies friends birthday pasta amount food,20.4795042671
1348,my 12 year old declared it the best pizza ever and he is probably the one of the worlds best pizza experts as he has tried so many :) .,year pizza worlds pizza experts,20.3929615766
1225,another thing: no italian restaurant would serve the pizza already cut.,thing restaurant pizza,20.3021851872
1183,"we arrived early for an 8:15 table and had to wait a short while for the previous diners to finish up but the owner was very welcoming and left us with menus to browse.we ordered our meals, 2 x pizzas and a pasta dish after having some garlic bread to start.",table while diners owner menus meals x pizzas dish bread,20.1848060006
422,"me and my girlfriend found this place on the internet, must of been our lucky day because the staff were amazing and the food was incredible if you're thinking of a place to go don't hesitate and go to fiddies for your next meal
we travelled over an hour by train for our family meal at fiddie's on the strength of trip advisor recommendations and it met our expectations and more.",girlfriend place internet day staff food place fiddies meal hour train family meal fiddie strength trip advisor recommendations expectations,20.1759154546
180,"we ordered a diavola pizza and a carbonara pasta dish, our food was delicious and definitely cooked in true italian style!",diavola pizza carbonara pasta dish food style,20.1544445923
882,"we had the pizzas, but the tables next to us had pasta, which i will 100% go back to try as it looked amazing and the portions we're huge!",pizzas tables pasta% portions,20.1307843106
561,i ordered a simple pizza margarita and my fiancee opted for spaghetti bolognese - not too daring but let's see what they can do with fairly basic dishes we thought.,i pizza margarita fiancee spaghetti dishes,20.1215801491
891,"it's a very small and informal place, don't expect fine dining or grand surroundings and decor, but the atmosphere is great, the pizza was one the best my wife and i have had in a long time, and fiddie himself is a great host offering great service.",place dining surroundings decor atmosphere pizza wife i time fiddie host offering service,20.1144412092
784,the owner has been extremely friendly and the food (especially pasta) was great.,owner food pasta,20.0331429433
886,"small place in camden, friendly staff, quick, clean, marvelous food, glorious pasta al dente, big portions and finaly, nice price.",place camden staff quick food pasta al dente portions finaly price,20.0139809451
105,"with all the different chains of italian restaurant, it is great to have a real and proper italian restaurant with its true flavour.they have amazing pizzas and pasta.",chains restaurant restaurant flavour.they pizzas pasta,19.9950851276
302,"with such a strong flavour dressing wasn't needed, although they had used a small amount of oil.the gigis pizza was topped with spicy salami, milano salami, italian sausage, buffalo mozzarella and chilli.",flavour dressing amount gigis pizza spicy salami milano salami sausage buffalo mozzarella chilli,19.9098120712
553,i have already sampled two different pasta dishes and a pizza over three visits - all delicious and very good value.,i pasta dishes pizza visits value,19.891465252
478,my husband had the pizza and i had the pasta.,husband pizza i pasta,19.8521994949
514,i chose fiddie's pizza for my main and was expecting fireworks but much to my surprise i polished off the whole thing!,i fiddie pizza fireworks surprise i thing,19.8289884073
633,"the only let-down was that we were seated directly in-front of the door so every time someone came in or out (& this happened frequently) we were hit with a gust of ice-cold wind.staff were extremely attentive, standards of customer service were high.",let-down in-front door time someone gust wind.staff standards customer service,19.7959221087
1300,"would recommend
literally just got home from our first visit to this restaurant.a wonderful welcome from the host,tasteful stylish decor,nice background music ,not so loud that you can't have a conversation ,every table was full ,pizzas pastas ,fish,meat what to choose?",visit restaurant.a welcome host decor background music conversation table pastas fish meat,19.7870536411
1329,"my wife's pizza was not to her taste, my pasta was quite good.",wife pizza taste pasta,19.7849875105
1263,"neither the tomato sauce or the mozzarella on top were particularly strong, but i found this to be a good thing as it allowed the toppings to become more prominent.",tomato sauce mozzarella thing toppings,19.7775599867
856,"signed, the pineapple lovers ;-)
real italian food we read the reviews and they were right.we will come back again the food was really nice,if you want to taste real italian food you should visit this restaurant.",pineapple lovers food reviews right.we food food restaurant,19.6747687097
1038,"probably no bigger than your front room, if that, it feels almost like you are in someone’s home in this friendly, unfussy little restaurant.",room someone ’ home restaurant,19.6347759816
552,"i ordered pasta carbonara and was offered a soft drink, as part of a special lunch offer - order any pizza or pasta, and get a free soft drink for £6.90, or a glass of wine for £7.90.",i pasta carbonara drink part lunch offer order pizza pasta drink £6.90 glass wine £7.90,19.5679617435
1223,"but the thing that will make us return in the future is not the value, the food or the location (although all of these are a plus) but because of the host, i beleive he was the owner!",thing future value food location host owner,19.5398966135
74,my boyfriend had a custom made one - pizza margherita with a plate of spaghetti on top!!!,boyfriend custom pizza margherita plate spaghetti,19.4644627167
67,"we managed to get a booking on a late sunday afternoon in march and after reading the on-line price list the first thing that struck me was that prices were on a par with the high street chains so what could be so good for it to be voted number 1?we were greeted as if we'd been going there every week, despite it being our first visit, asked where we'd come from, where would we prefer to sit; in short a genuinely friendly welcome.",booking sunday afternoon march price list thing prices par street chains number week visit welcome,19.3779385163
12,"always a friendly atmosphere - the best anti pasti in town - delicious...
visited today with my wife and two children after reading reviews on here.the food was outstanding especially the calves liver and the service was second to none.they made you feel so welcome and we can't wait to go back next time we're in london.make sure you are hungry as the portions are of a good size and you won't be hungry when you leave even if you can't finish it they wrap it up to take with you so you can scoff it later back at the hotel.",anti pasti town today wife children reviews here.the food calves service time sure portions size hotel,19.3203832434
544,i had the mussel pasta and others in my family had calzone and pizza.,i mussel pasta others family calzone pizza,19.2896761075
461,the host was so friendly and funny we really enjoyed the whole meal and have already recommended this restaurant to our friends and family and will definitely be back.,host meal restaurant friends family,19.2280748141
1224,the most important thing in the pizza is the bread.,thing pizza bread,19.179637758
124,"must say this was an excellent choice, very friendly staff food was superb every course didn't disappoint very happy customers will definitely come again and would recommend to others 1st class
went with a group of friends to have a fun evening and we definitely did.",choice staff food course customers others class group friends fun evening,19.178557226
1323,"it's a weeny, modern, lively, genuine italian trattoria serving excellent home-style pasta and pizza dishes, as well as some more formal meat/fish/veggie options.",weeny trattoria pasta pizza dishes meat/fish/veggie options,19.1753151156
173,"whilst the dessert menu is limited, the panna cotta topped with fresh strawberry sauce was so good that even i, not generally a panna cotta fan, enjoyed sharing my wife’s serving, whilst my serving of tiramisu was beautifully light but so large that we had to take two-thirds of it home for later.fiddie’s has only been open for a few months, but by the look of it it’ll be here to stay – i certainly hope so, so i can keep going back to work my way through the menu!",dessert menu panna cotta strawberry sauce panna cotta fan wife ’ s serving serving tiramisu two-thirds home ’ s months look i way menu,19.1593087097
671,then for our mains we had seafood linguini and a meat pizza which were both so good.,mains linguini meat pizza,19.1499240233
620,kids pizzas were delicious and portion sizes perfect.,kids pizzas portion sizes,19.0414251905
98,the calves liver with sage was to die for and came with perfectly-cooked broccoli and potatoes; the seafood risotto was also excellent.,calves sage broccoli potatoes seafood risotto,19.0303837347
1261,"the tiramisu was my favourite, so far the best tiramisu i have had this past year!friendly local italian eatery, great value for money and the portions are huge!",tiramisu tiramisu i year eatery value money portions,18.9729138778
584,"i had a sirlion steak (250 gr), which came with porcini mushroom, potatoes and broccoli, and the cost would be only 13.50 £ - half the price in any another central london restaurant better known.",i sirlion steak gr porcini mushroom potatoes broccoli cost price london restaurant,18.9646974821
821,"frankly, i've had much tastier pasta in a cafe not far from here, as well as some other italian restaurants in london.",pasta cafe restaurants london,18.9631998263
348,good food at reasonable prices and friendly staff - what's not to like?also it's one of the few restaurants on this part of the finchley road in swiss cottage that was still lively at 10pm on a saturday night.only downsides were that the lighting is a bit too bright for a romantic meal and the choice of music (elvis isn't to everyone's taste!,food prices staff restaurants part finchley road cottage saturday downsides lighting meal choice music elvis everyone taste,18.9576817881
872,the pizza was the best we had during out trip and we visited multiple countries; the pasta was on point as well (we really enjoyed the carbonara).,pizza trip countries pasta point carbonara,18.9495984932
1009,"as we are thinking of starting our own restaurant, the owner was more than happy to give advice on starting up as he has 30 years in the business.",restaurant owner advice years business,18.8927446868
831,"the main (special, pasta with lobster meat) was nothing special - it had no big pieces of meat just some small particles, rather disappointing to be honest.",pasta meat nothing pieces meat particles,18.846803844
962,puddings are home made and we managed to make good inroads into a big portion of tiramisu and a cheesecake.,puddings home inroads portion tiramisu cheesecake,18.7942394679
827,"when the pasta finally arrived, i was unpleasantly surprised by the portion size, having expected a ""generous"" portion (to cite many reviewers before me).",pasta i portion size portion reviewers,18.7819857885
752,highly recommend starting with a number of plates to share and follow up with a pasta and pizza combo.,number plates share pasta pizza combo,18.7725169881
702,"as you may have seen from the menu online, the number of dishes are not overwhelming which is a positive thing to see from a restaurant with this size.",menu online number dishes thing restaurant size,18.7364839996
48,"the bill for two drinks, two starters, two mains and a dessert was just £40.i've already planned my next trip to this restaurant as i want to try out all the dishes on the menu and i'm so glad to have found a non-chain italian restaurant to go to from now on.",bill drinks starters mains dessert trip restaurant i dishes menu restaurant,18.6808986716
43,"went here after reading a bbc article that fiddies was currently the number 1 rated restaurant in london and, being a pizza lover, thought we'd give it a try.",bbc article fiddies number restaurant london pizza lover try,18.6800844712
1160,"they're not lacking in starters though, with a total of ten providing a decent amount of varied options, while four different snacks are available on top of these if bread or courgettes are your kind of thing.",starters total ten amount options snacks top bread courgettes kind thing,18.6579201918
559,"before i left, i ordered a pizza to go, for some friends (and me) to try.",i pizza friends,18.6385793306
340,"the food was really tasty and possibly the best pizza i have had, my boyfriend also loved his pasta dish.",food pizza i boyfriend dish,18.5979328128
867,"perfect pizza, pasta and salads.",pizza pasta salads,18.588537643
664,"see you again soon xx
a great lunch: good pizza, pasta and salad.",lunch pizza pasta salad,18.588537643
797,the owner greeted us and made his rounds to find out if we were satisfied with our meals.,owner rounds meals,18.5688865467
1107,"my son had a kids pizza and said it was delicious my hubby had a caesar salad and i had a calzone, i have to say this was the best calzone i have ever tasted it was so yummy and so big i didn't quite manage to finish it.",son kids pizza hubby caesar salad i calzone i calzone i i,18.5433023447
866,great pizza and pasta in a friendly atmosphere.,pizza pasta atmosphere,18.5432495977
324,"the food - garlic bread, lovely bruscetta and various pasta and pizzas - all very nice.",food garlic bread bruscetta pasta,18.5327441386
1168,"we know some students who go there because they have meat, vegetarian and vegan dinners!",students meat dinners,18.5164215676
615,"judging by the queues waiting in the evening this is a very popular restaurant.we have bisited several times at luch time.there is a special offer, which is extremely ogood value.the cypriot owner is veyr friendly, might as well be italian!he creates and great atmosphere and remebers his cusomers even if they only visited once.",judging queues evening restaurant.we times offer value.the cypriot owner atmosphere remebers cusomers,18.5072376625
399,"i went with 2 of my friends & said it was a 10/10
the desserts are made in house & are superb
great value for money
neo (boss) is very funny
you have to book a table as it is always packed
had to wait for a table but definitely worth the wait.",friends desserts house value money neo boss book table table wait,18.4826072471
344,"the food was excellent - generous portions of pasta, freshly made.",food portions pasta,18.3858030119
1236,"at the time i made a booking here, there was an issue with their hours on opentable as they had the restaurant listed as shut between 15:00 and 17:00. as i made them aware of this problem, so that they were able to fix it, i was allowed to have my dessert on the house.",time i booking issue hours restaurant shut i aware problem i dessert house,18.351298352
1162,his steak was thick and cooked to order and my pizza was great although i could not manage to eat it all - direct from the open pizza oven it was good and thin with masses of topping.,steak order pizza i direct pizza masses,18.3451638629
834,"two of us had pasta but the pizza oven looked really authentic too, they have a great oven.",pasta pizza oven,18.3202999983
970,"got a ragu myself whilst i saw the lady cut into some delicious meatballs - with fiddie coming up making jokes throughout the night, but still giving us time to be alone.to round things up i asked for a tea and though it wasn't on the menu it was brought to me in a lovely mug and it was kept off the bill as well!",ragu lady cut meatballs fiddie jokes night time round things tea menu mug bill,18.2485828274
471,the house salad was very good and the gigis pizza (which included various types of meat) i highly recommend.,house salad gigis pizza types meat,18.2254130107
560,i must say this was the best pizza i have ever tried to date.the manager fiddie is charismatic and his positive energy is infectious......very professional and extremely generous gentleman.check this cosy and intimate restaurant.....you will not be disappointed.,i pizza i manager fiddie energy gentleman.check cosy intimate restaurant ..you,18.2200109231
1342,both tasted wonderful and you can tell the quality of the dough is so much better than your standard pizza joint.you receive mammoth portions but it's so good you can't help but finish it off!,wonderful quality dough pizza joint.you portions,18.1349578436
147,"crab ravioli was one and duck the otheri chose gamberoni and my partner had a spicy sausage pasta, both pasta dishes were to perfection.",crab ravioli otheri gamberoni partner spicy sausage pasta dishes perfection,18.1276019763
845,people bring their children i've stopped cooking pasta at home and go there instead!we were 10 there: i also saw once a large shower group!,people children pasta home i shower group,18.1255898664
554,i didn't finish my pasta and took the rest home - unfortunately my youngest son beat me to it the next day and ate my leftovers!,i pasta rest home son day leftovers,18.1160819577
690,we were so thrilled with our meal that we told the owner of our air b n b about it and she was looking forward to trying it out too.,meal owner air b n b,18.1086269923
420,my girlfriend and i visited fiddie's a few weeks back and we both took an instant liking to this little gem.,girlfriend i fiddie weeks liking gem,18.105484017
1111,"one of the specials was a huge and tender steak in a tomato sauce served with potatoes and vegetables, i tasted some and it was wonderful.",specials tender steak tomato sauce potatoes vegetables i,18.1029167677
731,neo was hugely welcoming and entertaining and the food was superb - beautifully cooked pasta dishes.,neo food pasta dishes,18.089921239
865,we had both pizza and pasta which were great!,pizza pasta,18.0757171302
905,"the place is nice and it looks italian, maybe the pasta is good but my experience with the pizza was disappointing.",place pasta experience pizza,18.0757171302
658,you can come for the lunch deal which is only £6.90 that includes any pizza or pasta and a soft drink.,lunch deal pizza pasta drink,18.0757171302
833,the pasta and pizza are so fresh.,pasta pizza,18.0757171302
407,"it was also sweet and fruity, ensuring that this dessert was absolutely perfect when it came to flavour.the service here was great, which was pretty much entirely down to the owner, who is quite the character.",fruity dessert service owner character,18.0517050937
406,no frills italian cafe / restaurant serving great pasta at reasonable prices for hampstead.,frills/ restaurant pasta prices hampstead,18.0380216195
976,"upon receipt of the bill i was delighted when the owner said the additional starter and kids meal was ""on the house"".",receipt bill i owner starter kids meal house,17.989879536
1336,"wine by the glass was fine.the overall experience is great fun with a lot of humour from the management and interaction with other diners .will return but this time might be less piggy and share one of the pizzas as a main course but who knows...................give it a whirl - have no doubt you will enjoy the experience ................
this place gave our family that little extra, that me us come back for more.",wine glass experience fun lot humour management interaction diners time share pizzas course doubt experience place family,17.9836702277
1258,the tiramisu was just as good and we ate everything!the owner and emma took the time to come and talk to us and made us feel like really valued customers.,tiramisu everything owner emma time customers,17.9834022287
596,i have been to eat here a few times with my friends and every time we go the food is absolutely amazing!,i times friends time food,17.9465567254
308,"so onto the food, the antipasto beautiful presentation and very tasty, my lady had a pizza, went down well, not spectacular but hit the spot, i had the rissotto just nice, real tasty.",food antipasto presentation lady pizza spot i rissotto tasty,17.9452652846
776,"the owner makes an effort of speaking to you during the meal, to see the food/ service is up to scratch.",owner effort meal service,17.9270581917
836,"the pasta was terrific and the portions large, more then i could eat.",pasta portions,17.9263305535
837,"the pasta is also really varied, with a total of 7 shapes and 19 sauces, of which seven are vegetarian and five are seafood.",pasta total shapes sauces seafood,17.8998786789
892,really donot recommend missing this lovely italian place we had a lovely evening with plenty of lovely food and drink and the owner has a lovely sense of humour.,place evening plenty food drink owner sense humour,17.893227254
1053,"the italian sausage was like thick pieces of mincemeat, but solid instead of crumbly.",sausage pieces mincemeat crumbly,17.8852815218
437,"!from the two guys from galicia supporters of fc barcelona
on my boyfriend's birthday, while walking around london, we found a place called fiddie's... and what a nice surprise it was here, you feel home and warm, people are friendly and always checking if you need anything, make you laugh and even sing, and the food, oh my god, the food is excelent and tastes so fresh!",guys supporters barcelona boyfriend birthday place fiddie surprise home people anything sing food god food tastes,17.878758139
1012,"all in all, a pretty average restaurant in most respects - not bad to go to for a lunchtime pizza, especially with the special deal, but i would definitely not travel here specifically for either lunch or dinner, nor am i likely to order another cream based pasta dish if i do come again.",restaurant respects pizza deal lunch dinner order cream,17.8782790055
1222,"the only thing was a bit drawback was the door that was open all the time, it made it a bit of a cold experience.",thing bit drawback door time bit experience,17.8699192103
643,"we will be visiting soon..
we were visiting london for few days and as italian couple we always looking for nice place where to go to eat.we found this place on trip advisor and we decided to try it and glad we did.the place is small in the overall and the staff very friendly, but we really enjoyed our food and atmosphere (full of italians which is always a good sign).we met the sicilian chef which surprise for us he was cooking but also talking and serving the customers.everything was nice in a relax ambience with affordable prizes.we will definitely get back to this place as soon we will visit london againgrazie!",london days couple place place trip advisor place staff food atmosphere italians sign sicilian chef surprise customers.everything ambience prizes.we place againgrazie,17.8563230321
158,we made a deal to split in the bill in two after intens negotiations as the owner insisted on providing the entire meal free.,deal bill intens negotiations owner meal,17.8545522791
795,"the owner of the restaurant was brilliant, very welcoming and attentive providing lots of laughs!",owner restaurant lots laughs,17.8145347723
444,the hearty italian owner hails from the south and served up a lovely pasta - i slurped up everything including the gravy.,hearty owner hails south i everything gravy,17.8098250078
469,"4 hours later, and still chatting, fiddie asked if we would like our desserts, we ordered a tiramisu and a chocolate cake.",hours fiddie desserts tiramisu chocolate cake,17.8019744098
580,i had just been turned away from the italian down the road as obviously they wanted the table for two- not one diner... i walked a while further to try my luck ...... fiddie welcomed me ... i told my tale .. he sat me down said i was most welcome ... the ambiance was so lovely .,i road table two- diner i while luck fiddie i tale .. i ambiance,17.7799137209
931,"the portion sizes are huge, i had the veal special and my fiancée had a pizza, enough food to feed four!",portion sizes i fiancée pizza food,17.7529421292
423,me and my girlfriend visited this restaurant last friday evening and luckily we had booked a table as the place was full within 20 minutes of arrival.,girlfriend restaurant evening table place minutes arrival,17.7492314035
839,pasta was out if this world (even the gluten free one which is hard to do).,pasta world,17.7329410495
779,"the owner made us feel like we were long lost family, he guaranteed we would be in and out in good time for the film (we were) and the atmosphere was lively and fun.",owner family time film atmosphere fun,17.7184767738
361,"food was delicious and service was quick with us being checked on twice, another thing which is important.",food service thing,17.7152979407
576,i chose this restaurant based on the numerous positive reviews on tripadvisor.my friends and i were not disappointed.,i restaurant reviews tripadvisor.my friends i,17.7069893588
791,"the owner took the mick out of us for not being too adventurous something i really liked as it was like speaking to a friend rather than a waiter, set the atmosphere.",owner mick something i friend waiter atmosphere,17.6915188879
670,the mains were delicious: lasagne and penne with pesto.,mains lasagne penne pesto,17.6905004367
