course,course_name,short_description,long_description
"AFRAMER 101 - The Color Line and Freedom Movements, in Geopolitical Context",AFRAMER 101 ," The Color Line and Freedom Movements, in Geopolitical Context","Description:  This seminar examines American racism and anti-racism, by situating this history in a deeply international context. We will seek thematic throughlines, from transnational abolitionism and Atlantic emancipations; to US imperialism in the Caribbean, amidst homefront Jim Crow; to the internationalist affinities of movements from Civil Rights to Black Lives. Throughout we will interpret how U.S. racial formations and contestations, have been consistently entangled with global war, empire, diaspora and solidarity -- from Civil War to World War, Cold War to Terror War. Our study will juxtapose scholarly, creative and primary sources -- to analyze together the American racial state's domestic and foreign policies, as well as the efforts of critical intellectuals and popular movements. We will touch on topics such as U.S. white-supremacist and anti-racist responses to Haitian self-determination, and African decolonization; African-American soldiers' wartime encounters with insurgent Mexico, WWII Europe, Vietnam and Iraq; efforts to link U.S. racial politics with comparable inequalities in the UK, Brazil, India, South Africa and Palestine; and consider worldviews expressed by leading strategists of U.S. foreign policy as well as those of artistic, religious, Pan-African, queer, Black feminist and labor activists across regions and over decades."
AFRAMER 101X - The Making and Breaking of Black Institutions,AFRAMER 101X , The Making and Breaking of Black Institutions,"Description:  This course explores the long history of institution building within the African American community. While black churches serve as the oldest black institutions in the United States, out of these organizations have emerged black secondary schools and colleges along with black businesses and print media. And, while black institutions were established in the crucible of racial segregation and overt racial animosity, these same institutions presently struggle for viability in a presumably ?post-racial? America. ?Race men? and ?race women? of the eighteenth, nineteenth and twentieth centuries like Ida B. Wells, Mary McLeod Bethune, Booker T. Washington and Carter G. Woodson were conscious of the need to establish institutions for the advancement of black life while living under the stress of open white oppression. In this contemporary moment, however, we trace how multiple and changing formations of blackness are imprinted by issues like post-raciality, social mobility, and neoliberalism/racial capitalism manifest across different institutions. How do scholars interpret these changes and their influence on the ongoing economic and social stratification of black life in America? In exploring these issues we will read works of history, sociology and anthropology."
AFRAMER 106X - Contemporary African Music: Global and Local,AFRAMER 106X , Contemporary African Music: Global and Local,"Description:  Examines contemporary African music with emphasis on the relationship between traditional and popular genres. Of particular interest are themes of music and social commentary, music and public health, music and political conflict, and music and youth empowerment. Case studies from Mali, Nigeria, Kenya, Democratic Republic of the Congo, and South Africa will be featured."
AFRAMER 11 - Introduction to African Studies,AFRAMER 11 , Introduction to African Studies,"Description:  This course introduces students to the general outlines of African archeology, history and geography, as well as key concepts in the study of African health, social life , economic situation, arts, and politics. Our aim is to give students a fundamental vocabulary and interdisciplinary methodology for the study of Africa. Throughout, we assume that Africa is not a unique isolate but a continent bubbling with internal diversity, historical change, and cultural connections beyond its shores. The course is open to all students who are interested in exploring various dimensions of African life and cultures in ancient and modern periods."
AFRAMER 117Y - Specters of Race and Paroxysms of Violence in Scorsese and Tarantino,AFRAMER 117Y , Specters of Race and Paroxysms of Violence in Scorsese and Tarantino,"Description:  Through such films as ""Taxi Driver"", ""Raging Bull"", ""Pulp Fiction"" and ""Django Unchained"", the course will explore the avant-garde techniques of cinematic storytelling that Scorsese and Tarantino deploy to explore America's obsession with the figure of the black male as both a victim and purveyor of extreme violence."
AFRAMER 118 - The History of African Americans From the Slave Trade to the Civil War,AFRAMER 118 , The History of African Americans From the Slave Trade to the Civil War,"Description:  This course surveys African American History from the first migrations of Africans to the Americas during the Transatlantic Slave Trade to the eve of the U.S. Civil War. Atlantic in scope, our studies will consider black US history in the context of broader regional variations, highlighting both the distinctive and the unexceptional features of black society, culture, and politics. Lectures, readings, discussions, and assignments will emphasize several key themes: the indispensability of slavery to the colonial development of the Americas, the entrenchment of race as a mode of categorical belonging and discrimination, the continuity of multivalent struggles for dignity, freedom, and equality, and the shaping force of gender, geography, and imperial warfare in the transformations of the period. Special attention will be paid to the interpretive possibilities of representing this history in the form of data, argumentative prose, storytelling, and works of visual art."
AFRAMER 123X - Mass Incarceration in Historical Perspective,AFRAMER 123X , Mass Incarceration in Historical Perspective,"Description:  Today 1 in 3 African American boys will spend part of their lives behind bars, a profound reflection of the limitations of law and democracy in the United States. By examining the connections between race and the development of legal and penal systems over time, this course investigates the historical process that eventually gave rise to the mass incarceration of black and Latino Americans in the late twentieth century. The course is structured according to the major punitive changes that often emerged after the expansion of constitutional and civil rights for African Americans. Our historical consideration will provide us the necessary background to address the ongoing consequences of racial disparities in the criminal justice system and the momentous public policy implications of this dynamic."
AFRAMER 123Y - The Historical Philosophy of W.E.B. Du Bois,AFRAMER 123Y , The Historical Philosophy of W.E.B. Du Bois,"Description:  This course will examine the historical philosophy of the towering Black scholar and great freedom fighter of the 20th Century. We shall engage in close readings of Du Bois? classic work, ?The Souls of Black Folk? (1903) as well as subsequent essays in his magisterial corpus, especially his classic autobiography, ?Dusk of Dawn? (1940)."
AFRAMER 131X - What could Scandal or How To Get Away with Murder possibly have in common with William Faulkner?,AFRAMER 131X , What could Scandal or How To Get Away with Murder possibly have in common with William Faulkner?,"Description:  This course puts our classic literature in conversation with current canonical pop culture. Specifically, each week we will examine how Shonda Rhimes?s hit television shows Scandal and How To Get Away With Murder resurrect the same charged topics of interracial sex, black personhood and white anxieties that William Faulkner described and imagined in his novels Absalom, Absalom and Light in August. All of these texts tackle themes such as othering, violence as liberation and the spectre of interracialism but what do they say about them in particular? What does Rhimes highlight about this? Faulkner? What is achieved textually versus visually? This course looks at how all of these expressions discuss the highly charged topic of race and blackness and offers a lense through which to look at our daily life. Goals of this course will be: Learning and refining the practice of close reading literature in order to pull away larger themes and arguments Learning and refining how to close read a visual performative text Practicing interdisciplinary thought and outlook"
"AFRAMER 137 - Literature, Oratory, Popular Music and the Politics of Liberation",AFRAMER 137 ," Literature, Oratory, Popular Music and the Politics of Liberation","Description:  Against the historic background of the civil rights struggles in the United States and the decolonizing liberation struggles in Africa and the Caribbean, this course explores how utopian or emancipatory aspirations in diverse genres and media like literature, oratory, and popular music impact people of different racial groups, gendered identities and social classes. Among the authors, public intellectuals and performers whose works we will explore are Ralph Ellison and James Brown, Wole Soyinka and Fela Kuti, Derek Walcott and Bob Marley, and Toni Morrison and Aretha Franklin."
"AFRAMER 140X - Film, Fiction and Diaspora",AFRAMER 140X ," Film, Fiction and Diaspora","Description:  This course will explore important works of film and fiction on the African diasporas in the Americas and the Caribbean. Since diaspora unfolds in waves that include both very old and very recent immigrant populations, we will explore both classic and contemporary films and novels with regard to this separation and connection between old and new diasporas. Moreover, our explorations will extend to diverse national and cultural spaces of the African diaspora ? Hispanic, French/Creole and English. A special feature of the course is an introduction - in the form of homage and celebration - to classic works of cinema and fiction on the African diaspora that have almost been forgotten. Finally, we will examine differences and similarities between the experience of diaspora in earlier times and in the new millennium."
"AFRAMER 145X - The Hiphop Cipher: ""These are the Breaks",AFRAMER 145X ," The Hiphop Cipher: ""These are the Breaks","Description:  The Hiphop Cipher is an in-depth look at aspects of hiphop. It is for students who have taken courses on hiphop and popular music and culture. It closely examines a particular issue and topic and includes guest lecturers and master classes on areas or issues in hiphop culture, art, scholarship and performance. These are the Breaks: The connection between vinyl from the 60?s, 70?s and 80?s and birth of what we now know as hip-hop music, is a connection that is known by producers, DJ?s and collectors of music, but not to academia. Various political, cultural, and social movements of the 1960?s created an environment for the stories of soul, jazz, and funk produced in the 1970?s, which in turn created the platform for our most treasured hip-hop albums (Illmatic, The BluePrint, The Chronic, College Dropout, The Minstrel Show). ""Diggers"" from around the world travel from country to country, from record shop to basement, in search of the original ""breaks"" used for these albums, in some cases for 10+ years. This course examines the important break beats in hiphop and the cultural, political and social movements and contexts that the beats, songs and production represented."
"AFRAMER 150X - Race, Racism, and American Politics",AFRAMER 150X ," Race, Racism, and American Politics","Description:  This course takes up the questions of whether, how much (if at all), and why racial group identity and racism influence American political discourse, behavior and policy-making regarding issues of importance to African American communities. The course will also consider the future of debates within African American political thought and politics in the coming post-Obama era. The focus will be primarily on the post World War II era, especially the post-Civil Rights period to the present day. Among the topics we will address are: Obama and the racial divide in America, the rise of the Tea Party, the new politics of immigration, and the rhetoric of ""law and order"" in American politics and its connection to the mass incarceration. Readings will consider how sociologists, political scientists, and historians have tried to understand the complex and changing role of race and racism in American politics and policy-making."
"AFRAMER 180X - Race, Class and the Making of American Religion",AFRAMER 180X ," Race, Class and the Making of American Religion","Description:  This class explores the ways in which both race and class are implicated in the development and practice of religion in the U.S. Through historical, anthropological and sociological works we explore the theoretical underpinnings of race and class and ponder their influence upon varying expressions of Islam, Judaism and Christianity."
"AFRAMER 182 - Rhythm and Blues, Soul and Funk",AFRAMER 182 ," Rhythm and Blues, Soul and Funk","Description:  Focuses on the history of African American popular music from R&amp;B to Funk, with particular attention to the interplay among music and African American cultural and political consciousness. A variety of critical approaches to the study of popular music are also introduced."
AFRAMER 187 - African Religions,AFRAMER 187 , African Religions,"Description:  This course is a basic introduction to the history and phenomenology of traditional religions of the African peoples. Using diverse methodological and theoretical approaches, the course will explore various forms of experiences and practices that provide a deep understanding and appreciation of the sacred meaning of African existence: myth, ritual arts, and symbols selected from West, East, Central, and Southern Africa."
AFRAMER 192Y - The Paradox of the Garden: Good and Evil in Paradise,AFRAMER 192Y , The Paradox of the Garden: Good and Evil in Paradise,"Description:  Selected readings from The Book of Genesis, Frederic Douglass, Thomas Jefferson, Jane Austen, William Bartram, Anne Spencer among others."
AFRAMER 199Z - Majesty and Mythology in African Art,AFRAMER 199Z , Majesty and Mythology in African Art,"Description:  This course serves as an introduction to key themes in Africa art framed around both questions of rulership and the array of mythological forms that define these and other arts. The course also examines what these arts reveal about the nature of power, society, and religion in Africa more generally. The diverse ways that Africans have employed art and architecture to define individual and group identity will also be examined. Among the topics that will be discussed are palace and community architecture, regalia, women, divine kingship, cosmology, enthronement ceremonies, history, and the importance of art in diplomacy and war. The importance of broader art and architectural connections between Africa and other world areas will be engaged as well, bringing into play issues of colonialism, the global economy, questions of display, and current concerns with art appropriation and return."
AFRAMER 20 - Introduction to African Languages and Cultures,AFRAMER 20 , Introduction to African Languages and Cultures,"Description:  This introduction to African languages and cultures explores how sub-Saharan Africans use language to understand, organize, and transmit (culture, history, etc.) indigenous knowledge to successive generations. Language serves as a road map to comprehending how social, political, and economic institutions and processes develop: from kinship structures and the evolution of political offices to trade relations and the transfer of environmental knowledge. As a Social Engagement course, AAAS 20 will wed scholarly inquiry and academic study to practical experience and personal involvement in the community. Students will be given the opportunity to study Africans, their languages, and their cultures from the ground up, not only through textbooks and data sets but through personal relationships, cultural participation, and inquisitive explorations of local African heritage communities. Throughout the semester you will be asked to employ video production, ethnographic research, creative writing, ""social-portraiture,"" GIS mapping, and linguistic study as you engage with Africans, their languages, and their cultures. By examining linguistic debates and cultural traditions and interrogating their import in the daily lives of Boston-area Africans, we hope to bridge the divide between grand theories and everyday practices, between intellectual debates and the lived experiences of individuals, between the American academy and the African world. Ultimately, this course aims to place Africans themselves in the center of the academic study of Africa."
"AFRAMER 208 - Social Theory, In and Out of Africa",AFRAMER 208 ," Social Theory, In and Out of Africa","Description:  Social Theory, In and Out of Africa examines, in critical depth, the major theoretical and methodological approaches that have shaped the history of Anglo-American anthropology and, more generally, social thought through the prism of Africa. In so doing, it will address (i) the historical roots and philosophical foundations of these approaches and (ii) their significance for contemporary concerns in the social sciences at large. Juniors and seniors admitted with instructor approval."
AFRAMER 209A - Africa Rising? New African Economies/Cultures and Their Global Implications,AFRAMER 209A , Africa Rising? New African Economies/Cultures and Their Global Implications,"Description:  In a story titled Africa Rising (2011), The Economist argued that the continent epitomizes both the ""transformative promise of [capitalist ] growth and its bleakest dimensions."" This workshop will explore Africa's changing place in the world - and the new economies, legalities, socialities, and cultural forms that have arisen there. It will also interrogate the claim that the African present is a foreshadowing of processes beginning to occur elsewhere; that, therefore, it is a productive source of theory about current conditions world-wide. The workshop, open to faculty and students, will meet Mondays from 6:00-8:00. 15 students will be permitted to take it as a course; they will also meet on Mondays, 12:00-1:30. Grades will be based on participation and a term essay."
AFRAMER 262 - Research Design/Proposal Writing,AFRAMER 262 , Research Design/Proposal Writing,"Description:  This course is a practicum designed to help students craft effective research and grant proposals, learn how to constructively critique others? proposals, and develop enduring collaborative relationships. Many writing problems are fundamentally thinking and design problems. For this reason, conceptual structure, project design, and methodological choices will occupy a great deal of our time. The first half of the semester will focus on Wenner-Gren-type proposals, the second half on proposals for the National Science Foundation and similar funders."
AFRAMER 301 - Graduate Proseminar,AFRAMER 301 , Graduate Proseminar,"Description:  Students are introduced to major themes, classic texts, and representative current work in the broad interdisciplinary field of African and African American Studies, with a focus on the Humanities (Literature, Art, Music, and Religion)."
AFRAMER 310 - Individual Reading Tutorial,AFRAMER 310 , Individual Reading Tutorial,Description:  Allows students to work with an individual member of the faculty in a weekly tutorial.
AFRAMER 390 - Individual Research,AFRAMER 390 , Individual Research,Description:  Requires students to identify and carry out a research project under the guidance of a member of the faculty. Graduate students may use this course to begin work on the research paper required for admission to candidacy.
AFRAMER 390 - Individual Research,AFRAMER 390 , Individual Research,Description:  Requires students to identify and carry out a research project under the guidance of a member of the faculty. Graduate students may use this course to begin work on the research paper required for admission to candidacy.
AFRAMER 391 - Directed Writing,AFRAMER 391 , Directed Writing,Description:  Requires students to identify a major essay and carry it out under the guidance of a member of the faculty. Graduate students may use this course to begin to work on the research paper that is a requirement of admission to candidacy.
AFRAMER 398 - Reading and Research,AFRAMER 398 , Reading and Research,
AFRAMER 399 - Direction of Doctoral Dissertations,AFRAMER 399 , Direction of Doctoral Dissertations,
AFRAMER 399 - Direction of Doctoral Dissertations,AFRAMER 399 , Direction of Doctoral Dissertations,
"AFRAMER 401 - Social Theory, In and Out of Africa",AFRAMER 401 ," Social Theory, In and Out of Africa","Description:  Social Theory, In and Out of Africa examines, in critical depth, the major theoretical and methodological approaches that have shaped the history of Anglo-American anthropology and, more generally, social thought through the prism of Africa. In so doing, it will address (i) the historical roots and philosophical foundations of these approaches and (ii) their significance for contemporary concerns in the social sciences at large. Juniors and seniors admitted with instructor approval."
AFRAMER 91R - Supervised Reading and Research,AFRAMER 91R , Supervised Reading and Research,"Description:  Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
AFRAMER 98 - Junior Tutorial - African American Studies,AFRAMER 98 , Junior Tutorial ,"Description:  Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
AFRAMER 98A - Junior Tutorial - African Studies,AFRAMER 98A , Junior Tutorial ,"Description:  Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
AFRAMER 99A - Senior Thesis Workshop,AFRAMER 99A , Senior Thesis Workshop,Description:  Thesis supervision under the direction of a member of the Department. Part one of a two part series.
AFRIKAAN 101AR - Advanced Afrikaans,AFRIKAAN 101AR , Advanced Afrikaans,"Description:  A study of Afrikaans a major language spoken in South Africa at the Advanced level in the Fall semester. As needed, successive advanced readings in Afrikaans may be taken under Afrikaans 101ar every Fall."
AFRIKAAN AA - Elementary Afrikaans,AFRIKAAN AA , Elementary Afrikaans,"Description:  A study of Afrikaans a major language spoken in South Africa at the Elementary level (First year part 1). Contact hours supplemented by digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year."
AFRIKAAN BA - Intermediate Afrikaans,AFRIKAAN BA , Intermediate Afrikaans,"Description:  A study of Afrikaans a major language spoken in South Africa at the Intermediate level (Second year part 1). Contact hours supplemented by language lab sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Afrikaans BA in the Spring must note that Afrikaans BB is offered only in the Spring and must therefore wait for Spring to complete the course."
AKKAD 154 - Peripheral Akkadian,AKKAD 154 , Peripheral Akkadian,
AKKAD 157 - Introduction to Old Assyrian Language and History,AKKAD 157 , Introduction to Old Assyrian Language and History,"Description:  Readings of texts in the Assyrian dialect of the period c. 1920-1720 BCE. Examples include loans and quittances, caravan texts, commercial records, partnership contracts, business letters, family and state law, political treaties, royal inscriptions, incantations and literature. The course will integrate the textual record with an overview of Anatolian history and material culture during the period in question."
AKKAD 300 - Akkadian Language and Literature,AKKAD 300 , Akkadian Language and Literature,
AKKAD AA - Introductory Akkadian,AKKAD AA , Introductory Akkadian,"Description:  An introduction to the Semitic language of Akkadian, primarily through the Old Babylonian dialect and cuneiform writing system as used during the time of Hammurabi (c. 1750 BCE). Students learn the fundamentals of grammar and the writing system, as well as the most common cuneiform signs in official and cursive script. Readings span a variety of genres, including private letters, judicial documents, literary and religious texts, divinatory compendia, legal code, and royal inscriptions. The course also briefly introduces students to examples of texts from other periods and dialects of the Akkadian language for cultural and comparative purposes. Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit."
AMHARIC 101AR - Advanced Amharic,AMHARIC 101AR , Advanced Amharic,"Description:  A study of Amharic the statutory national language and major lingua franca of Ethiopia at the Advanced level in the Fall semester. As needed, successive advanced readings in Amharic may be taken under Amharic 101ar every Fall."
AMHARIC AA - Elementary Amharic,AMHARIC AA , Elementary Amharic,"Description:  A study of Amharic the statutory national language and major lingua franca of Ethiopia at the Elementary level (First year part 1). Contact hours supplemented by digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year."
AMHARIC BA - Intermediate Amharic,AMHARIC BA , Intermediate Amharic,"Description:  A study of Amharic the statutory national language and major lingua franca of Ethiopia at the Intermediate level (Second year part 1). Contact hours supplemented by language lab sessions. Emphasis on written expression, reading comprehension, and oral fluency.Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Amharic BA in the Spring must note that Amharic BB is offered only in the Spring and must therefore wait for Spring to complete the course."
AMSTDIES 200 - Major Works in American Studies,AMSTDIES 200 , Major Works in American Studies,"Description:  A survey of the field, with an emphasis on the range of interdisciplinary methods in the humanities, history, and social sciences."
AMSTDIES 314A - Colloquium on Pedagogy and Professional Development,AMSTDIES 314A , Colloquium on Pedagogy and Professional Development,"Description:  Topics in pedagogy and professional development for third-year students in American Studies. Stongly recommended for American Studies G-3s, and open to others by permission of the instructor.Students must complete both terms of the course (parts A and B) within the same academic year in order to received credit."
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 398 - Reading and Research,AMSTDIES 398 , Reading and Research,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
AMSTDIES 399 - Direction of Doctoral Dissertation,AMSTDIES 399 , Direction of Doctoral Dissertation,
